text,label
 ừ hiểu rồi,Vậy à
 ok chốt,Vậy à
 yep,Vậy à
 ồ ồ,Vậy à
 được rồi,Vậy à
 ok nha,Vậy à
 hiểu rồi nha,Vậy à
 ok ạ,Vậy à
 nếu vậy thì oki,Vậy à
 à mình hiểu rồi đó,Vậy à
 à thế ạ,Vậy à
 được rồi nha,Vậy à
 ok nhé,Vậy à
 vâng,Vậy à
 à xin lỗi nhé,Vậy à
 hic thôi,Vậy à
 ok mình đã hiểu,Vậy à
 à rồi,Vậy à
 okay,Vậy à
 oke,Vậy à
 okie,Vậy à
 ok fine,Vậy à
 oke nhé,Vậy à
 ok bạn,Vậy à
 oke e,Vậy à
 bạn ơi giúp mình với,Hỏi
 help,Hỏi
 cho chị hỏi chút,Hỏi
 Tôi có thể hỏi câu này được không,Hỏi
 Tôi có thể hỏi câu này một chút không,Hỏi
 cho tôi hỏi câu này một chút,Hỏi
 cho tôi hỏi xíu,Hỏi
 bạn có thể trả lời giúp tôi câu này được không,Hỏi
 bạn trả lời giúp tôi với,Hỏi
 tôi có câu hỏi này bạn trả lời giúp tôi nhé,Hỏi
 cho hỏi cái này với,Hỏi
 cho mình hỏi,Hỏi
 em ơi cho mình hỏi,Hỏi
 bạn có thể giúp tôi được không,Hỏi
 cho hỏi chút,Hỏi
 cho mình hỏi với,Hỏi
 ừ cho mình hỏi chút với,Hỏi
" Ờ, bạn cho mình hỏi chút",Hỏi
 tôi muốn hỏi,Hỏi
 alo cho hỏi tí,Hỏi
 hỏi cái nè,Hỏi
 hỏi với,Hỏi
 bạn gì ơi cho mình hỏi,Hỏi
 bạn gì ơi cho mình hỏi nhé,Hỏi
 Bạn có rảnh không mình hỏi tí,Hỏi
 ừ bạn cho mình hỏi chút nhé,Hỏi
 Bạn ơi cho mình hỏi cái này với,Hỏi
 anh hỏi em chút,Hỏi
 anh nhờ em chút,Hỏi
 anh hỏi cái,Hỏi
 mình muốn hỏi cái này,Hỏi
 mình hỏi cái này được không,Hỏi
 mình cần giúp,Hỏi
 tôi hỏi cái này được không,Hỏi
 mình muốn hỏi xíu,Hỏi
 cho tôi hỏi,Hỏi
 mình muốn hỏi câu này,Hỏi
 vậy cho mình hỏi,Hỏi
 cho tôi hỏi tí được không,Hỏi
 ok bạn cảm ơn bạn nhiều nha,Cảm ơn
 ok mình cảm ơn nha,Cảm ơn
 thanks u,Cảm ơn
 ok anh cảm ơn nhé,Cảm ơn
 cảm ơn nhé,Cảm ơn
 m cảm ơn,Cảm ơn
 ok thanks,Cảm ơn
 mình cảm ơn bạn,Cảm ơn
 ok thank,Cảm ơn
 cảm ơn tư vấn viên nghen,Cảm ơn
 cảm ơn đã hỗ trợ,Cảm ơn
 ok cảm ơn ad né,Cảm ơn
 cảm ơn bạn nhiều nhé,Cảm ơn
 trân trọng cảm ơn,Cảm ơn
 ok cám ơn bạn,Cảm ơn
 tks adm,Cảm ơn
 cảm ơn bạn,Cảm ơn
 tks,Cảm ơn
 ok rất hữu ích cảm ơn b,Cảm ơn
 thank em,Cảm ơn
 ok thanks bạn,Cảm ơn
 tks bạn nhiều nhé mình hiểu r,Cảm ơn
 được rồi cảm ơn ad,Cảm ơn
 cảm ơn bạn đã hỗ trợ mình,Cảm ơn
 ok cảm ơn bạn,Cảm ơn
 Mình cảm ơn,Cảm ơn
 oh cảm ơn bạn nhiều,Cảm ơn
 thăn kiu,Cảm ơn
 thanks,Cảm ơn
 cảm ơn nha,Cảm ơn
 tks bạn,Cảm ơn
 cám ơn bạn,Cảm ơn
 tôi cảm ơn vì sự giúp đỡ của bạn,Cảm ơn
 tôi cảm ơn,Cảm ơn
 cám ơn em,Cảm ơn
" ok, cảm ơn",Cảm ơn
" OK, Tks",Cảm ơn
 cám ơn nhé,Cảm ơn
 Mình cảm ơn nhé,Cảm ơn
 mình cảm ơn nhiều,Cảm ơn
 cảm ơn bạn nhé,Cảm ơn
 thank,Cảm ơn
 thank you,Cảm ơn
 cảm ơn,Cảm ơn
 ờ mây zing gút chóp,Khen
 amazing good job,Khen
 đẹp trai đấy,Khen
 bạn giỏi thế,Khen
 tuyệt vời,Khen
 tốt,Khen
 gút chóp ờ mây zing,Khen
 okie chạy ngon đấy,Khen
 toẹt vời,Khen
 giỏi,Khen
 bạn giỏi nhỉ,Khen
 thích bạn rồi đấy,Khen
 thích bạn lắm cơ,Khen
 yêu bot nhiều lắm,Khen
 bot tuyệt đấy,Khen
 bot tốt đấy,Khen
 bot ngon đấy,Khen
 được đấy,Khen
 tuyệt đấy,Khen
 nghe có vẻ ổn,Khen
 uầy xịn thế,Khen
 tốt đấy nhỉ,Khen
 tốt thế,Khen
 được đấy nhở,Khen
 tốt thế nhở,Khen
 hay nhỉ,Khen
 ngon nhỉ,Khen
 hay quá,Khen
 hay thế,Khen
 được đó,Khen
 i love you,Khen
 bot thông minh nhỉ,Khen
 good,Khen
" ờ được đấy, cảm ơn bạn.",Khen
 oke bạn được đấy,Khen
 ồ tuyệt đấy,Khen
 ok tốt lắm,Khen
 tốt đấy,Khen
 mình thích bạn thế,Khen
 mình cũng chả hiểu drive viết gì,Chê
 lại không trả lời được rồi,Chê
 bot dốt quá,Chê
 bot lại tịt,Chê
 haizz,Chê
 ối zồi ôi,Chê
 hỏi mãi mới hiểu í mình,Chê
 ngu vcc,Chê
 mình hỏi câu nào bạn cũng không giúp mình được,Chê
 chán bạn quá,Chê
 chán rồi,Chê
 hỏi kia mà không biết trả lời,Chê
 chán bạn,Chê
 ối giời ơi,Chê
 giời ơi,Chê
 chán,Chê
 không hiểu à,Chê
 dốt thế,Chê
 vừa dài vừa khó hiểu đọc thấy mệt quá,Chê
 Tôi ghét bạn,Chê
 mình ghét bạn,Chê
 bạn thật đáng ghét,Chê
 đáng ghét,Chê
 phiền phức,Chê
 vớ vẩn,Chê
 đồ phiền phức,Chê
 đồ dở hơi,Chê
 không yêu nổi,Chê
 ghét bot,Chê
 bot rất đáng ghét,Chê
 bot phiền phức thật,Chê
 sản phẩm này phiền toái quá,Chê
 đồ phiền toái,Chê
 chán nhỉ,Chê
 chán bạn thế,Chê
 trả lời chán thế,Chê
 trả lời không đúng gì,Chê
 bạn quá tệ,Chê
 mình ghét bạn thế,Chê
 bạn trả lời không đúng lắm nhỉ,Chê
 chán bạn thật,Chê
" hỏi 1 đằng, trả lời 1 nẻo",Chê
 hello bot có ni chưa,Chào hỏi
 chào b,Chào hỏi
 he nhô em,Chào hỏi
 ad ơi,Chào hỏi
 em ơi,Chào hỏi
 hih,Chào hỏi
 em êi,Chào hỏi
 hi me,Chào hỏi
 halo bot,Chào hỏi
 xin chào bot,Chào hỏi
 hello bot,Chào hỏi
 hi bot,Chào hỏi
 chào bot,Chào hỏi
 hêloo,Chào hỏi
 aluu,Chào hỏi
 alooo,Chào hỏi
 ê bạn ơi,Chào hỏi
 he lô,Chào hỏi
 hê lô,Chào hỏi
 hi em,Chào hỏi
 em ơi em,Chào hỏi
 ê bạn,Chào hỏi
 hi em,Chào hỏi
 helo,Chào hỏi
 chào iem,Chào hỏi
 bạn gì êii,Chào hỏi
 hello bạn,Chào hỏi
 tôi cần được giúp đỡ,Chào hỏi
 bạn có thể giúp gì cho tôi,Chào hỏi
 ê mày ơi,Chào hỏi
 chào,Chào hỏi
 alo,Chào hỏi
 xin chào bạn,Chào hỏi
 bạn ơi bạn,Chào hỏi
 chị ơi,Chào hỏi
 bạn ê,Chào hỏi
 ê mày,Chào hỏi
 này,Chào hỏi
 ơi bạn,Chào hỏi
 chào ad,Chào hỏi
 em chào ad,Chào hỏi
 hế lu,Chào hỏi
 hey,Chào hỏi
 xin chào nhé,Chào hỏi
 Hey bạn gì ơi,Chào hỏi
 chào em,Chào hỏi
 bạn gì ơi,Chào hỏi
 Chào bro,Chào hỏi
 à nhô,Chào hỏi
 Bạn ơi,Chào hỏi
 hi bạn,Chào hỏi
 hello,Chào hỏi
 hi,Chào hỏi
 chào bạn,Chào hỏi
 xin chào,Chào hỏi
 bạn tên là gì dzợ,Bot là ai
 mà tên của bạn là gì vậy,Bot là ai
 tên bạn là chi,Bot là ai
 tóm lại e tên gì,Bot là ai
 em là girl hay boy,Bot là ai
 bạn là nam hay nữ,Bot là ai
 bot là nam hay nữ,Bot là ai
 em người hay bot vậy,Bot là ai
 người hay máy trả lời tôi vậy,Bot là ai
 bot là ai,Bot là ai
 bạn là cái gì,Bot là ai
 bạn là cái gì thế,Bot là ai
 mày là ai thế,Bot là ai
 mày là gì thế,Bot là ai
 bot này là gì,Bot là ai
 ê mày là ai thế,Bot là ai
 bạn tên là gì,Bot là ai
 Ai sinh ra bạn thế,Bot là ai
 Ai lập trình ra mày thế,Bot là ai
 Ai là mẹ của bạn,Bot là ai
 Bố của bạn là ai,Bot là ai
 Ai chế tạo ra bạn thế,Bot là ai
 Ai sinh ra bạn,Bot là ai
 Ai đẻ ra bạn vậy,Bot là ai
 bạn tên gì dợ,Bot là ai
 em là ai vậy,Bot là ai
 em là ai,Bot là ai
 Em tên gì ?,Bot là ai
 em là bot à hay người thế,Bot là ai
 Bạn là người hay là máy,Bot là ai
 bạn tên gì,Bot là ai
 bạn tên gì thế,Bot là ai
 Bạn là ai?,Bot là ai
 Bạn có ổn không,Hỏi thăm sức khỏe
 bạn dạo này sống như nào,Hỏi thăm sức khỏe
 Cuộc sống em ổn không?,Hỏi thăm sức khỏe
 dạo này thế nào,Hỏi thăm sức khỏe
 em có khỏe không,Hỏi thăm sức khỏe
 Dạo này như thế nào,Hỏi thăm sức khỏe
 Sống tốt chứ,Hỏi thăm sức khỏe
 Ổn chứ,Hỏi thăm sức khỏe
 bạn có khỏe không,Hỏi thăm sức khỏe
 quận hai bà trưng  hà nội nha,location
 cầu giấy  hà nội,location
 mình ở hoàn kiếm,location
 Nghệ An,location
 ở Hà Nội,location
 quận hai bà trưng,location
 huyện đông anh,location
 anh muốn vay  tiêu dùng,Điều kiện vay vốn_context mục đích vay
 thế vay  mua xe thì như thế nào ạ,Điều kiện vay vốn_context mục đích vay
 mua xe thì sao hả ad,Điều kiện vay vốn_context mục đích vay
 còn mua xe thì như nào em,Điều kiện vay vốn_context mục đích vay
 em ơi còn mua xe,Điều kiện vay vốn_context mục đích vay
 mua xe thì sao em nhỉ,Điều kiện vay vốn_context mục đích vay
 vay mua xe sao em,Điều kiện vay vốn_context mục đích vay
 thế còn vay  mua xe thì sao hả em,Điều kiện vay vốn_context mục đích vay
 vậy vay  mua xe ?,Điều kiện vay vốn_context mục đích vay
 thế vay  mua xe ?,Điều kiện vay vốn_context mục đích vay
 còn vay  mua xe ?,Điều kiện vay vốn_context mục đích vay
 Điều kiện vay vốn,Điều kiện vay vốn_context mục đích vay
 vay tín dụng thì sao,Điều kiện vay vốn_context mục đích vay
 còn vay thì như thế nào,Điều kiện vay vốn_context mục đích vay
 Vậy còn vay thì sao,Điều kiện vay vốn_context mục đích vay
 Vay mua nhà,Điều kiện vay vốn_context mục đích vay
 Thế còn mua xe thì sao,Điều kiện vay vốn_context mục đích vay
 thế mua xe thì sao,Điều kiện vay vốn_context mục đích vay
 Thế mua xe thì sao nhỉ,Điều kiện vay vốn_context mục đích vay
 Thế mua xe thì như nào,Điều kiện vay vốn_context mục đích vay
 vậy mua xe thì sao nhỉ,Điều kiện vay vốn_context mục đích vay
 thế mua xe thì như thế nào,Điều kiện vay vốn_context mục đích vay
 Thế còn vay  mua chung cư,Điều kiện vay vốn_context mục đích vay
 Vay  mua xe thì như thế nào,Điều kiện vay vốn_context mục đích vay
 Vay  mua nhà sao,Điều kiện vay vốn_context mục đích vay
 Vay  tiêu dùng thì như nào,Điều kiện vay vốn_context mục đích vay
 Thế vay  mua xe,Điều kiện vay vốn_context mục đích vay
 trả nợ trước thời hạn có bị phạt không,Phí trả nợ trước hạn vay
 trả nợ trước thời hạn có sao không,Phí trả nợ trước hạn vay
 việc trả nợ trước thời hạn có bị phạt tiền không,Phí trả nợ trước hạn vay
 anh muốn trả nợ trước thời hạn thì có bị phạt gì không nhỉ,Phí trả nợ trước hạn vay
 Phí trả nợ trước hạn,Phí trả nợ trước hạn vay
 tất toán khoản vay trước hạn có mất phí gì không nhỉ,Phí trả nợ trước hạn vay
 Tôi trả nợ trước thời hạn hợp đồng vay thì phải chịu khoản phí như nào,Phí trả nợ trước hạn vay
 Tất toán khoản vay trước hạn có làm sao,Phí trả nợ trước hạn vay
 Muốn tất toán khoản vay trước hạn có mất phí hay bị phạt gì,Phí trả nợ trước hạn vay
 Phí trả nợ trước hạn tính như thế nào,Phí trả nợ trước hạn vay
 Phạt trả nợ trước hạn tính như thế nào,Phí trả nợ trước hạn vay
 Phí phạt trả nợ trước hạn tính như thế nào,Phí trả nợ trước hạn vay
 Trả nợ trước hạn thì phí phạt như thế nào,Phí trả nợ trước hạn vay
 Trả nợ trước hạn thì chịu phí bao nhiêu,Phí trả nợ trước hạn vay
 Tất toán trước hạn chịu phí ra sao,Phí trả nợ trước hạn vay
 Tất toán khoản vay trước hạn chịu phạt như thế nào,Phí trả nợ trước hạn vay
 Tất toán khoản vay trước hạn chịu bao nhiêu phí,Phí trả nợ trước hạn vay
 Nếu tôi tất toán trước hạn thì bị phạt ra sao,Phí trả nợ trước hạn vay
 Trả khoản vay trước hạn thì bị phạt như thế nào,Phí trả nợ trước hạn vay
 Phạt khi thanh toán khoản vay trước hạn,Phí trả nợ trước hạn vay
 Tôi muốn trả nợ trước hạn nhưng có mất phí gì không,Phí trả nợ trước hạn vay
 Trả nợ trước hạn thì có bị phạt gì không,Phí trả nợ trước hạn vay
 Trả nợ trước hạn có bị phạt hay không,Phí trả nợ trước hạn vay
 Lãi suất vay ngân hàng là bao nhiêu,Tính lịch và lãi cho vay
 vay  tín chấp thì lãi suất như nào nhé,Tính lịch và lãi cho vay
 Tôi phải trả nợ hàng tháng bao nhiêu nhỉ,Tính lịch và lãi cho vay
 Lãi vay  mua nhà được tính như nào,Tính lịch và lãi cho vay
 Vay  thế chấp được tính lãi như nào,Tính lịch và lãi cho vay
 Tôi muốn vay  mua ô tô thì hình thức trả lãi vay sẽ được tính kiểu gì,Tính lịch và lãi cho vay
 Lãi khoản vay  mua nhà được tính như thế nào,Tính lịch và lãi cho vay
 Số tiền vay phải trả hàng tháng được tính như thế nào,Tính lịch và lãi cho vay
 Tôi có thể trả lãi vay theo cách nào?,Tính lịch và lãi cho vay
 Tiền trả vay hàng tháng như thế nào,Tính lịch và lãi cho vay
 Trả lãi vay hàng tháng như thế nào,Tính lịch và lãi cho vay
 Tiền lãi vay  mua xe được tính trả hàng tháng như thế nào?,Tính lịch và lãi cho vay
 Cách tính lãi vay của vcb như thế nào,Tính lịch và lãi cho vay
 Lãi vay được trả như thế nào,Tính lịch và lãi cho vay
 Cách tính số tiền trả lãi vay hàng tháng,Tính lịch và lãi cho vay
 Phương thức tính lãi vay hiện tại của VCB là gì ạ,Tính lịch và lãi cho vay
 Vay  mua ô tô trả bao nhiêu/tháng?,Tính lịch và lãi cho vay
 Cho chị xin thông tin lãi suất cho vay với,Tính lịch và lãi cho vay
 Vay  tín chấp thì lãi suất như nào,Tính lịch và lãi cho vay
 Vay  thế chấp thì lãi suất cụ thể như thế nào?,Tính lịch và lãi cho vay
 Tôi muốn biết chi tiết tính lãi của khoản vay của tôi hàng tháng,Tính lịch và lãi cho vay
 Tiền lãi hàng tháng khi vay  tín chấp được tính như thế nào?,Tính lịch và lãi cho vay
 có được vay online không,Vay vốn trực tuyến
 có được vay online không bạn,Vay vốn trực tuyến
 ngân hàng mình có cho vay online không ạ,Vay vốn trực tuyến
 ngân hàng có cho vay online không,Vay vốn trực tuyến
 bên bạn có hỗ trợ vay online không,Vay vốn trực tuyến
 thế có đăng ký vay online được không,Vay vốn trực tuyến
 hướng dẫn đăng kí vay online,Vay vốn trực tuyến
 có hình thức vay online không nhỉ,Vay vốn trực tuyến
 muốn vay online vui lòng hướng dẫn,Vay vốn trực tuyến
 chị  muốn vay online thì có được không nhỉ,Vay vốn trực tuyến
 làm sao để vay onl nhỉ,Vay vốn trực tuyến
 mình đăng kí vay online được không ạ,Vay vốn trực tuyến
 có hỗ trợ vay onl không,Vay vốn trực tuyến
 đăng kí vay online như nào,Vay vốn trực tuyến
 đăng kí vay trực tuyến được không,Vay vốn trực tuyến
 đăng kí vay online được không,Vay vốn trực tuyến
 muốn đăng ký vay qua mạng thì đăng ký kiểu gì nhỉ,Vay vốn trực tuyến
 Đăng kí vay onl kiểu gì thế,Vay vốn trực tuyến
 Không qua trực tiếp ngân hàng được mà vay onl được không,Vay vốn trực tuyến
 Bận quá nên đăng ký vay online đâu vậy ạ,Vay vốn trực tuyến
 chị muốn vay tiền online thì có được không,Vay vốn trực tuyến
 chị có thể vay tiền online không,Vay vốn trực tuyến
 bên mình có hỗ trợ vay tiền qua mạng hay không,Vay vốn trực tuyến
 bên mình có hỗ trợ vay tiền online không,Vay vốn trực tuyến
 bên mình có hỗ trợ vay trực tuyến không,Vay vốn trực tuyến
 bên mình có dịch vụ vay trực tuyến không nhỉ,Vay vốn trực tuyến
 vay trực tuyến có được không,Vay vốn trực tuyến
 Mình muốn vay online thì làm như thế nào,Vay vốn trực tuyến
" Bên mình có cho vay online không, hồ sơ như thế nào đấy",Vay vốn trực tuyến
 Làm hồ sơ vay online như thế nào đấy,Vay vốn trực tuyến
 Có dịch vụ vay tiền online không nhỉ,Vay vốn trực tuyến
 vay online thì có được không nhỉ,Vay vốn trực tuyến
 Tôi muốn vay qua mạng vì không có thời gian đến phòng giao dịch được?,Vay vốn trực tuyến
 Bên mình có làm hồ sơ duyệt vay online không?,Vay vốn trực tuyến
 Vay online như thế nào nhỉ ad,Vay vốn trực tuyến
 Mình muốn vay online thì gửi hồ sơ như nào,Vay vốn trực tuyến
 Bên này có cho vay tiền online không,Vay vốn trực tuyến
 vay qua mạng có được không nhỉ,Vay vốn trực tuyến
 Cho hỏi mình muốn vay qua mạng được không,Vay vốn trực tuyến
 Bên mình cho vay qua mạng không,Vay vốn trực tuyến
 Mình muốn vay online,Vay vốn trực tuyến
 vay online được không ạ,Vay vốn trực tuyến
 trước ngày đáo hạn anh trả hết một lèo luôn được không,Phí trả nợ trước hạn vay_context vay
 trước ngày đáo hạn anh trả hết luôn thì có bị mất phí gì không em nhỉ,Phí trả nợ trước hạn vay_context vay
 trước ngày đáo hạn mà trả tất thì có bị mất phí gì không em,Phí trả nợ trước hạn vay_context vay
 chưa đến ngày đáo hạn mà trả tất thì có bị phạt không em,Phí trả nợ trước hạn vay_context vay
 chưa đến ngày đáo hạn mà chị trả luôn thì có sao không em,Phí trả nợ trước hạn vay_context vay
 trước ngày đáo hạn mà chị trả luôn thì có được không em,Phí trả nợ trước hạn vay_context vay
 trả trước ngày đáo hạn thì có bị phạt gì không em,Phí trả nợ trước hạn vay_context vay
 trả luôn 1 th ể có bị tính phí phạt không,Phí trả nợ trước hạn vay_context vay
 trả tiền 1 thể luôn có bị phạt gì không,Phí trả nợ trước hạn vay_context vay
 trả tiền 1 thể luôn được không,Phí trả nợ trước hạn vay_context vay
 trả tất tiền luôn được không,Phí trả nợ trước hạn vay_context vay
 trả luôn tiền một cục thì có bị phạt không,Phí trả nợ trước hạn vay_context vay
 trả luôn tiền thì có bị phạt không,Phí trả nợ trước hạn vay_context vay
 trả luôn bây giờ thì có mất phí gì không,Phí trả nợ trước hạn vay_context vay
 chị đang có tiền chị trả luôn được không,Phí trả nợ trước hạn vay_context vay
 Phí trả nợ trước hạn vay,Phí trả nợ trước hạn vay_context vay
 Trả hết trước ngày đáo hạn thì có mất phí gì không,Phí trả nợ trước hạn vay_context vay
 Tất toán trước ngày đến hạn thì mất phí không nhỉ,Phí trả nợ trước hạn vay_context vay
 mình tất toán bây giờ mất phí không nhỉ,Phí trả nợ trước hạn vay_context vay
 Tất toán luôn khoản này thì đóng phí bao nhiêu,Phí trả nợ trước hạn vay_context vay
 Muốn tất toán cho hết khoản này được không,Phí trả nợ trước hạn vay_context vay
 Tất toán sớm mất phí không nhỉ,Phí trả nợ trước hạn vay_context vay
 Tất toán trước hạn được không,Phí trả nợ trước hạn vay_context vay
 Trả hết thì có mất phí gì không,Phí trả nợ trước hạn vay_context vay
 Mình muốn trả trước ngày đáo hạn thì sao,Phí trả nợ trước hạn vay_context vay
 Có tiền rồi mình trả hết luôn được không,Phí trả nợ trước hạn vay_context vay
 Thế bây giờ trả hết có được không,Phí trả nợ trước hạn vay_context vay
 hồ sơ vay như thế nào,Hồ sơ vay vốn
 hồ sơ vay,Hồ sơ vay vốn
 thủ tục vay,Hồ sơ vay vốn
 anh muốn vay  tiêu dùng,Hồ sơ vay vốn
 tôi muốn vay vốn tại ngân hàng thủ tục như thế nào,Hồ sơ vay vốn
 vay vốn như thế nào đây ad,Hồ sơ vay vốn
 vay vốn cần đem theo giấy tờ gì,Hồ sơ vay vốn
 mình cần vay tiền,Hồ sơ vay vốn
 Hồ sơ vay  mua xe cần những gì,Hồ sơ vay vốn
 Hồ sơ vay cần những gì,Hồ sơ vay vốn
 Hồ sơ vay vốn như thế nào,Hồ sơ vay vốn
 thủ tục cho vay như thế nào?,Hồ sơ vay vốn
 vay tiền cần giấy tờ thủ tục gì?,Hồ sơ vay vốn
 anh cần vay tiền,Hồ sơ vay vốn
 Tôi cần vay  tiêu dùng nhưng không có tài sản đảm bảo thì hồ sơ như thế nào vậy,Hồ sơ vay vốn
 anh muốn vay  thế chấp  mua xe thì cần những gì nhỉ,Hồ sơ vay vốn
 anh muốn vay  thế chấp thì cần những gì nhỉ,Hồ sơ vay vốn
 mình có nhu cầu mua xe trả góp thủ tục cho vay bên mình như nào nhỉ,Hồ sơ vay vốn
" Mình muốn vay  mua xe ô tô , thủ tục như thế nào",Hồ sơ vay vốn
 Hồ sơ vay  mua nhà gồm những gì nhỉ,Hồ sơ vay vốn
 mình cần hỏi về thủ tục vay vốn?,Hồ sơ vay vốn
 Mình muốn vay tiền để mua nhà cần thủ tục gì vậy nhé,Hồ sơ vay vốn
 mình muốn mua nhà thì hồ sơ vay như thế nào nhỉ,Hồ sơ vay vốn
 Hồ sơ vay  tiêu dùng bao gồm những gì,Hồ sơ vay vốn
 Mình muốn vay tiền để mua nhà cần thủ tục gì vậy,Hồ sơ vay vốn
 Hồ sơ để vay phải có những gì vậy bạn,Hồ sơ vay vốn
 Tôi muốn vay  tiêu dùng  thế chấp thì hồ sơ như thế nào vậy,Hồ sơ vay vốn
 thủ tục vay tiền,Hồ sơ vay vốn
 tôi muốn hỏi thủ tục vay tiền,Hồ sơ vay vốn
 mình muốn hỏi thủ tục vay vốn,Hồ sơ vay vốn
 Tôi muốn vay nhà thì hồ sơ như thế nào vậy,Hồ sơ vay vốn
 Tôi muốn vay  tiêu dùng  thế chấp thì hồ sơ như thế nào vậy,Hồ sơ vay vốn
 mình cần hỏi về thủ tục vay vốn,Hồ sơ vay vốn
 Cần chuẩn bị những giấy tờ gì để vay tiền ở VCB,Hồ sơ vay vốn
 Hồ sơ vay vốn,Hồ sơ vay vốn
 Tôi cần vay  tiêu dùng  có tài sản đảm bảo thì hồ sơ như thế nào vậy,Hồ sơ vay vốn
 Tôi cần vay  tiêu dùng  tín chấp thì hồ sơ như thế nào vậy,Hồ sơ vay vốn
 Cần chuẩn bị những giấy tờ gì để làm hồ sơ vay tiền ở VCB,Hồ sơ vay vốn
 Mình muốn vay  tiêu dùng thì hồ sơ như thế nào nhỉ? Mình có tài sản đảm bảo nhé,Hồ sơ vay vốn
 Tôi muốn cầm cố giấy tờ có giá để vay  tiêu dùng thì hồ sơ như thế nào nhỉ,Hồ sơ vay vốn
 Tôi muốn dùng giấy tờ có giá để cầm cố vay  tiêu dùng thì hồ sơ như thế nào nhỉ,Hồ sơ vay vốn
 muốn vay  tiêu dùng  thế chấp bằng tài sản thì cần những giấy tờ gì,Hồ sơ vay vốn
 Tôi muốn vay  tiêu dùng đảm bảo bằng tài sản cố định của tôi thì hồ sơ như thế nào nhỉ,Hồ sơ vay vốn
 Cần chuẩn bị những gì để làm thủ tục vay vốn,Hồ sơ vay vốn
